group,n,selection_rate,positive_rate,mean_score,tpr,fpr,calibration_ratio
Male,668011,0.7334355272592816,0.276886159060255,0.2690359145451839,0.6940198850580926,0.10288832579785032,0.9716481150891954
Female,450313,0.6904442021438422,0.30280937925398554,0.3020669770426654,0.7403251710558159,0.12246061524936774,0.9975482852838008
Sex Not Available,123226,0.6895784980442439,0.34239527372470097,0.29587336703497225,0.7137135001896094,0.10043932176617222,0.8641280699244286
