dimension,dir_observado,dir_modelo,delta
RAZA,0.7655435364371875,0.763867980853527,-0.001675555583660504
ETNIA,0.894308247090819,0.9026472705665165,0.008339023475697482
SEXO,0.9094069136066991,0.9402032931525369,0.030796379545837804
