anio,grupos,ratio_4_5,grupo_mas_denegado,brecha_pp
2020,6,0.8271920080101444,2 or more minority races,14.767798174709892
2021,6,0.8342784879982794,2 or more minority races,14.225014728453603
2022,6,0.7711608687462317,2 or more minority races,18.191229978880198
2023,6,0.7288846501290892,2 or more minority races,20.742971749624413
2024,6,0.7680731014458306,Native Hawaiian or Other Pacific Islander,18.0607441255361
