decline_rate,n_declined,loss_avoided,good_volume_foregone,bad_declined,good_declined,precision,loss_capture,loss_avoided_random,lift
0.01,893,33943565.91,118402700.0,310,583,0.3471444568868981,0.026354175940311184,12879767.5127,2.6354175940311184
0.02,1786,59202481.33999999,306636300.0,534,1252,0.2989921612541993,0.04596548911432122,25759535.0254,2.2982744557160606
0.03,2679,87433716.43,492425300.0,748,1931,0.2792086599477417,0.06788454554306717,38639302.5381,2.2628181847689057
0.04,3573,116548954.69,727117700.0,958,2615,0.2681220263084243,0.09048995222551785,51519070.0508,2.262248805637946
0.05,4466,144210363.98,925519900.0,1160,3306,0.2597402597402597,0.11196658933307796,64398837.5635,2.239331786661559
0.060000000000000005,5359,181201140.26,1145337200.0,1358,4001,0.25340548609815267,0.14068665453885557,77278605.07620001,2.3447775756475924
0.06999999999999999,6252,204419827.39,1371978600.0,1537,4715,0.24584133077415227,0.15871391093700513,90158372.58889998,2.267341584814359
0.08,7145,230247649.25,1575012300.0,1741,5404,0.243666899930021,0.17876692962273272,103038140.1016,2.234586620284159
0.09,8038,254974948.63,1782153700.0,1915,6123,0.23824334411545162,0.19796548996601362,115917907.6143,2.199616555177929
0.09999999999999999,8931,276313829.40999997,1992446200.0,2099,6832,0.23502407345202106,0.21453324303994056,128797675.12699999,2.1453324303994057
0.11,9824,299836786.29999995,2207482100.0,2264,7560,0.2304560260586319,0.23279673798797074,141677442.6397,2.116333981708825
0.12,10718,326778134.47,2451395900.0,2419,8299,0.2256950923679791,0.25371431133969063,154557210.1524,2.114285927830755
0.13,11611,348313679.5,2680505500.0,2578,9033,0.2220308328309362,0.2704347568048475,167436977.6651,2.0802673600372885
0.14,12504,373715074.61,2865560400.0,2733,9771,0.21857005758157388,0.29015669284519385,180316745.1778,2.072547806037099
0.15000000000000002,13397,397166338.94,3087441700.0,2898,10499,0.21631708591475704,0.30836452486302807,193196512.69050002,2.0557634990868534
0.16,14290,416276261.40999997,3337799500.0,3035,11255,0.21238628411476557,0.323201689005282,206076280.2032,2.020010556283012
0.17,15183,433834242.64,3577090800.0,3177,12006,0.2092471843509188,0.3368339080749873,218956047.7159,1.9813759298528666
0.18000000000000002,16076,451041786.32,3806394100.0,3328,12748,0.20701667081363523,0.3501940433903435,231835815.22860003,1.9455224632796857
0.19,16969,467051431.56,4055697100.0,3467,13502,0.20431374860038895,0.3626241165451685,244715582.7413,1.9085479818166764
0.2,17863,486287669.22999996,4299981400.0,3612,14251,0.2022056765380955,0.37755935326511103,257595350.254,1.887796766325555
0.21000000000000002,18756,499117613.65,4539997000.0,3713,15043,0.19796331840477713,0.3875206700414807,270475117.7667,1.845336524007051
0.22,19649,521484356.85999995,4764023900.0,3837,15812,0.19527711333910122,0.40488646735726724,283354885.2794,1.840393033442124
0.23,20542,536971634.99,4978009900.0,3966,16576,0.19306786096777334,0.41691096866501903,296234652.7921,1.8126563855000828
0.24000000000000002,21435,550370161.84,5210145800.0,4076,17359,0.19015628644739913,0.4273137393957706,309114420.30480003,1.780473914149044
0.25,22328,563916265.0,5443524300.0,4178,18150,0.18711931207452526,0.4378310900751543,321994187.8175,1.7513243603006172
0.26,23221,575069853.3,5694416000.0,4274,18947,0.1840575341285905,0.4464908646316454,334873955.3302,1.717272556275559
0.27,24115,596738685.3900001,5928292100.0,4394,19721,0.18221024258760107,0.4633147957069802,347753722.84290004,1.7159807248406673
0.28,25008,609787939.98,6176093900.0,4487,20521,0.17942258477287268,0.47344638742797424,360633490.3556,1.690879955099908
0.29000000000000004,25901,623881348.1200001,6451493300.0,4578,21323,0.1767499324350411,0.48438867200423186,373513257.8683,1.6703057655318339
