group,n,selection_rate,positive_rate,mean_score,tpr,fpr,calibration_ratio
Asian,120749,0.806781008538373,0.22135172962094923,0.20865672046728165,0.6834405866507034,0.0538603078035758,0.9426477978039431
White,1287770,0.7724787811488076,0.22516753768141826,0.23991303446879594,0.6844539322122746,0.09473585045590024,1.065486779041127
2 or more minority races,5029,0.6480413601113542,0.3863591171206999,0.3375897225976962,0.7416366443643849,0.10661049902786779,0.873771855349364
Black or African American,172212,0.6275404733700323,0.38394536966065085,0.34982368960754745,0.7327434966727163,0.14791878746748105,0.9111288148017991
American Indian or Alaska Native,14331,0.6258460679645523,0.38573721303468006,0.35123724116400146,0.7588639652677279,0.1325684425763944,0.9105609448482823
Native Hawaiian or Other Pacific Islander,4756,0.6162741799831791,0.4039108494533221,0.36851246659490183,0.7605413846954711,0.12839506172839507,0.9123609011584347
