decline_rate,n_declined,loss_avoided,good_volume_foregone,bad_declined,good_declined,precision,loss_capture,loss_avoided_random,lift,margin,net_benefit,at_boundary
0.5,44656.0,902877741.02,11865195100.0,6467.0,38189.0,0.14481816553206736,0.7010046882676446,643988375.635,1.4020093765352892,0.02,665573839.02,True
0.5,44656.0,902877741.02,11865195100.0,6467.0,38189.0,0.14481816553206736,0.7010046882676446,643988375.635,1.4020093765352892,0.03,546921888.02,True
0.45,40191.0,848518089.8900001,10525123800.0,6082.0,34109.0,0.15132741160956434,0.6587992283659818,579589538.0715001,1.4639982852577373,0.05,322261899.8900001,False
0.15000000000000002,13397.0,397166338.94,3087441700.0,2898.0,10499.0,0.21631708591475704,0.30836452486302807,193196512.69050002,2.0557634990868534,0.08,150171002.94,False
