group,n,selection_rate,positive_rate,mean_score,tpr,fpr,calibration_ratio
Not Hispanic or Latino,1381160,0.7666946624576443,0.23454415129311593,0.24300620982358512,0.6868399687599361,0.09433730255945563,1.0360787445937798
Ethnicity Not Available,266121,0.7077231785541164,0.3151949677026616,0.28354254189692524,0.7129828326180258,0.09863861589872751,0.8995782640933672
Hispanic or Latino,241556,0.6920548444253093,0.31544652171753135,0.3057292655390645,0.7332738392083782,0.11195103956264589,0.9691952343441331
