modelo,auc_train,auc_valid,auc_test,gini_test,ks_test,brier_test,ece_test,ratio_test,drop_oot,psi,psi_shape,segundos
neural_mlp,0.7074569644008823,0.6955395313885184,0.7053936720640248,0.4107873441280496,0.3106898817978475,0.28552400334711214,0.4371556739654951,5.555324315585143,0.002063292336857536,0.20331471558670458,0.013320316093736594,47.814117899979465
lightgbm,0.7303567294762383,0.7031847057985631,0.7004661352641914,0.4009322705283829,0.2882574326135246,0.08312655081701202,0.016130142417429348,0.8702434325744275,0.029890594212046873,0.17460933214034136,0.016789630813376387,2.870363900088705
scorecard_woe,0.6530835094107711,0.6725002321982553,0.6693809192577486,0.3387618385154971,0.2453346150748621,0.08471425792217771,0.018952404434458715,0.8166416553997647,-0.016297409846977473,0.132280608345734,0.038020457216272396,2.1060671999584883
